RT @plur_kittyy: ..@MaggieLindemann girl chill if your trying to drag me its not working your pathetic? carter cheated on you like 100?,anger
RT @DFkinLopes: y'all hoes needa quit lying to your ugly friends lmao http://t.co/3WYrqaihes,anger
"?@JBellisonzi: ok when there's a host at a restaurant, you WAIT to be seated. not just pick your own damn table. it's not a free for all.?!!",anger
Niggas got me on my bully yo! ?@Peter_Darker: @Ordinary_Brotha Fuk it....everybody catching bullet holes!,anger
I was fuuuucked last night,anger
I'm human and I'm not an animal You make the problem ??Your fuel or lead .. http://t.co/YjEmk8zjHc,anger
He NEEDA Leave me alone fuck.,anger
I'm going to cough in the face of the next aunty who touches my head and tells me I have a fever. DON'T TOUCH ME.,anger
"Reagan, Ronald: ""We must reject the idea that every time a law's broken, society is guilty rather than the lawbreaker"" #TBYG",anger
This tactic on FM is just unfair.,anger
RT @girlposts: I always wanted Lilo to beat her up so badly http://t.co/O4YtRAJa5t,anger
RT @VH1PNUT: DON'T EVER CALL ME BRUH BITCH .. TALK TO ME LIKE A WOMAN NOT GUCCI MANE,anger
@acid_for_blood put him in spaghetti,anger
"Pussy niggas want to see you dead, because them pussy niggas never see the bread",anger
RT @New_Tape_City: Where's the flag?!?!?!?!?!?!?!?!?!?!?! Fuck these dirty ass Eagle players trying to hurt Odell Beckham Jr. bunch of bast,anger
Remind them bitches to mind they business.,anger
RT @httparig: RT for one bc I'm bored and I'm being dragged around town by my family http://t.co/ehDvRHMTeW,anger
Yall piss me off every week @Chargers,anger
I fuck with you as much as you fuck with me,anger
I just want to get this shit over with,anger
@Redskins our play calling in the red zone has been horrible all year. This coaching staff needs to learn how to make adjustments.,anger
When the smart ass in your class rises his hand http://t.co/xO5FCg90jr,anger
RT @Khay_Nyee: 2014 should just end and all this bullshit should be left in it,anger
RT @Shinspirit_: [Yoongi voice] I aint a backstabber But I always hit it from the back Just ask your bitch once I already fucked her by them?,anger
S/O to the overweight girl in yoga pants at the mall. I hope you are happy that you just ruined my day #ThanksObama,anger
@lindseeeyhoot they can practice when I'm not home!,anger
"RT @BKWife_: He gone end up making me do some real FUCKED UP SHIT , oml .",anger
@RealJoeMoney I swear you better not say it.,anger
"Kareem Abdul-Jabbar: ""Police?like my father and grandfather are not under attack. Racism is."" http://t.co/2c5tzowI1X via @TIMEIdeas",anger
RT @getnickwright: You can't convince me that Alex Smith is better than Chase Daniel. Can't do it.,anger
@CoryWbu it was hacked and I got it back and left it alone. it's my account yes it does concern me.,anger
I want Death from SnuSnu,anger
RT @_JayMcFlyy: Nxgga why you acting like a hoe ?,anger
?@BrittanyStarrBB: My nephew really got fucking roosters and chickens out back fucking coc a doodle dooing http://t.co/1qe6VcMyyr,anger
Bruh she better not have a attitude this whole way here...not bouta deal with that naggin shit,anger
A BIG FUCK U TOO MY KINDERGARDEN TEACHER WHO FAILED ME,anger
RT @dariantang: girls who pretend to act stupid because they think it's cute need to be slapped in the face with a brick,anger
@berryelectric please unfollow me if you are one of these accounts and please don't think I lost weight from starving myself,anger
RT @VH1PNUT: DON'T EVER CHEAT ON A PRETTY GIRL WITH A UGLY BITCH .. THAT'S LIKE GOING FROM A PS4 TO A PS2,anger
@iknowpIaces @wildestsdreams I would've bullied her,anger
RT @RippedOffBriton: There would be no pension crisis if Govt put cap on obscene bank fees that rip-off up to 50% of your pension,anger
"What part of ""I'm busy"" do you not understand",anger
